Seed,Team
1,"Houston"
16,"SIU Edwardsville"
8,"Gonzaga"
9,"Georgia"
5,"Clemson"
12,"McNeese St." 
4,"Purdue"
13,"High Point"
6,"Illinois"
11,"Texas"
3,"Kentucky"
14,"Troy"
7,"UCLA"
10,"Utah St." 
2,"Tennessee"
15,"Wofford"
